question,marks,command_term,topic,subtopic,concepts
1,2,State,1,1.1,direct data entry; input
2,4,Outline,1,1.2,social networks; communication; stakeholders
3,2,Identify,1,1.2,CASE tools; software development; manufacturing
4a,2,Outline,2,2.2,control unit; CPU
4b,2,Describe,2,2.2,registers; primary memory
5,2,Describe,2,2.1,virtual memory; memory management
6,2,Outline,3,3.1,virus checker; antivirus; security
7,2,Outline,4,4.1,ASCII; Unicode; character representation
8a,2,Express,4,4.1,hexadecimal; number systems
8b,2,Calculate,4,4.1,hexadecimal; arithmetic
8c,3,Explain,4,4.1,floating-point; number representation
9,3,Trace,4,4.3,recursion; GCD; tracing
10,2,Describe,2,2.2,interrupt register; CPU
11,4,Compare,5,5.1,dynamic data structure; static data structure
12,2,Outline,5,5.1,key fields; database
13,4,Describe,4,4.1,number representation; errors
14a(i),1,Define,3,3.1,server; client-server
14a(ii),1,Define,3,3.1,client; client-server
14b,2,Outline,3,3.1,hub; star topology; network hardware
14c(i),2,Describe,1,1.1,access control; file system; permissions
14c(ii),4,Explain,3,3.1,access control; authentication; Internet
15a,1,Define,2,2.1,port; serial port
15b,3,Explain,3,3.1,handshaking; communication; protocols
15c,3,Describe,2,2.1,buffer; CPU; I/O
15d,3,Explain,2,2.1,DMA; direct memory access; peripherals
16a,2,Construct,4,4.1,truth table; logic; Boolean
16b,4,Simplify,4,4.1,Boolean expression; simplification
16c(i),2,Draw,4,4.1,logic gates; circuit
16c(ii),2,Explain,4,4.1,logic gates; equivalent circuit; simplification
17a,2,State,1,1.1,feasibility report; planning
17b,4,Discuss,1,1.2,commercial software; customized software; procurement
17c,4,Explain,1,1.2,system development; iterative; analysis and design
18a,1,State,5,5.1,postfix; expression; notation
18b,1,Identify,5,5.1,binary tree; inorder traversal
18c,1,State,5,5.1,binary tree; postorder traversal
18d,3,Suggest,5,5.1,tree; stack; algorithm; postfix
18e,4,Explain,5,5.1,recursion; binary tree traversal
19a,1,Define,4,4.1,analogue data; data representation
19b,2,Explain,4,4.1,analogue; digital; conversion; ADC
19c,4,Discuss,2,2.1,polling; communication; I/O
19d,3,Describe,2,2.1,sorting; primary memory; external sort
